material_id,spacegroup_num,crystal_system_int,structural complexity per atom,structural complexity per cell,mean absolute deviation in relative bond length,max relative bond length,min relative bond length,maximum neighbor distance variation,range neighbor distance variation,mean neighbor distance variation,avg_dev neighbor distance variation,mean absolute deviation in relative cell size,mean Average bond length,std_dev Average bond length,mean Average bond angle,std_dev Average bond angle,mean CN_VoronoiNN,std_dev CN_VoronoiNN,density,vpa,packing fraction,a,b,c,alpha,beta,gamma,natoms
1421,115,4,0.6666666666666666,2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.8287334253253977,2.8200908894975676,0.0,100.9397804703656,31.666258569940332,9.333333333333334,0.9428090415820634,3.8708978860619316,64.65685529857605,0.4033297529538131,3.20572,3.20572,18.8749,90.0,90.0,90.0,3
3336,129,4,0.5,2,5.551115123125783e-17,1.0,0.9999999999999999,4.440892098500626e-16,0.0,4.440892098500626e-16,0.0,0.8179099274108567,2.6889344900069796,3.1401849173675503e-16,92.48938043925654,21.346562959157186,10.0,2.0,3.420913821967529,77.45206343160719,0.2862248213125406,4.04231,4.04231,18.9598,90.0,90.0,90.0,4
2946,59,3,0.5,3,0.16226724136429702,1.2434008620464456,0.8746709115117481,0.8217396122522815,0.5478264081681878,0.5478264081681877,0.1826088027227293,0.8084604602893563,2.2507167951757374,0.38742916024780394,104.5479979987242,29.286205818730743,12.0,4.242640687119285,2.2991878718880416,46.44104445608021,0.3542358803986711,3.94576,3.30896,21.3418,90.0,90.0,90.0,6
4044,2,1,0.5,5,0.07222537756242248,1.1736322276470634,0.8637836293815676,0.2532835598910954,0.25327832213900914,0.11849027234266162,0.07091874739412836,0.814220684220074,2.4126547341687234,0.2177954261500118,104.04183680630791,24.075593935957087,15.6,2.2449944320643644,1.7423576141081658,59.28084979750672,0.2967775467775468,5.55803,6.48458,18.2044,90.0,90.0,115.37600000000002,10
3047,129,4,0.5,2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.7283846139713779,2.446037865703517,0.0,118.5872345136841,40.42850536524437,14.0,0.0,0.5736802538465102,195.0990710285559,0.10151515151515152,4.88873,4.88873,32.653,90.0,90.0,90.0,4
1914,59,3,0.5,3,0.0941784929793978,1.141267739469097,0.9256009733509618,0.4582260108695664,0.45822601086956594,0.26184343478260913,0.13715608488612835,0.8086105536980828,2.1624470554595643,0.21611208573749444,105.21036266876659,28.033413276940948,12.0,4.242640687119285,1.1693766555662366,46.068643218239174,0.3014950166112957,3.95606,3.27388,21.3418,90.0,90.0,90.0,6
938,59,3,0.5,3,0.11305441077811065,1.2826360269452766,0.9201453372642349,0.8027592295666777,0.8027592295666772,0.4940056797333399,0.3800043690256457,0.804924375172784,2.2722063800369128,0.3216470777258569,106.77652107200535,32.582890345940726,13.333333333333334,2.6246692913372702,3.2851150244647314,54.23042249969711,0.33656330749354,4.26483,3.57488,21.3418,90.0,90.0,90.0,6
961,156,5,1.0,3,0.03506318465035935,1.0350631846503593,0.9649368153496406,0.17668223549051598,0.08834111774525821,0.11778815699367733,0.03926271899789244,0.8457443748632997,2.519483573045972,0.08834111774525798,98.02701932779713,22.835514800202375,11.333333333333334,0.4714045207910317,1.4288046659761002,61.55410416874295,0.2906784335355764,3.4198,3.4198,18.2325,90.0,90.0,119.99999999999999,3
4048,6,2,0.75,9,0.017342135550039026,1.0169457817554954,0.9623407291606964,0.06819011387002583,0.06817138217823038,0.025863290384565852,0.014140707444038773,0.7891055992743388,2.6525084804871466,0.05442243532852598,97.995209638516,22.912291614834267,15.166666666666666,1.674979270186815,2.186985546830767,68.61341652485454,0.31600831600831597,7.19283,6.21466,18.4193,90.0,90.0,90.0,12
2328,129,4,0.5,2,0.06613843660598429,1.0496038274544883,0.9007923450910236,0.21601162303414956,0.21601162303414911,0.17280929842731957,0.06912371937092762,0.8203052624957721,2.9031580037157574,0.20365771128341217,93.497030388345,34.01051236245874,10.0,2.0,3.9181194082881374,65.84834191044797,0.35496794871794873,3.69837,3.69837,19.2568,90.0,90.0,90.0,4
