Epoch: [0][66/68]	Time 0.038 (2.156)	Data 0.000 (2.116)	Loss 0.6928 (1.3014)	MAE 0.647 (0.776)
Epoch: [0][67/68]	Time 0.026 (2.125)	Data 0.000 (2.085)	Loss 0.7833 (1.2971)	MAE 0.724 (0.776)
Test: [0/9]	Time 20.809 (20.809)	Loss 0.7360 (0.7360)	MAE 0.675 (0.675)
Test: [1/9]	Time 0.015 (10.412)	Loss 0.7336 (0.7348)	MAE 0.663 (0.669)
Test: [2/9]	Time 0.296 (7.040)	Loss 0.6432 (0.7043)	MAE 0.649 (0.662)
Test: [3/9]	Time 0.282 (5.350)	Loss 0.6583 (0.6928)	MAE 0.633 (0.655)
Test: [4/9]	Time 0.013 (4.283)	Loss 0.6978 (0.6938)	MAE 0.676 (0.659)
Test: [5/9]	Time 0.014 (3.571)	Loss 0.6867 (0.6926)	MAE 0.661 (0.659)
Test: [6/9]	Time 0.014 (3.063)	Loss 0.6663 (0.6889)	MAE 0.636 (0.656)
Test: [7/9]	Time 0.014 (2.682)	Loss 0.8346 (0.7071)	MAE 0.726 (0.665)
Test: [8/9]	Time 0.007 (2.385)	Loss 0.5854 (0.7007)	MAE 0.596 (0.661)
 * MAE 0.661
Epoch: [1][0/68]	Time 19.167 (19.167)	Data 19.126 (19.126)	Loss 0.6267 (0.6267)	MAE 0.580 (0.580)
Epoch: [1][1/68]	Time 5.059 (12.113)	Data 5.022 (12.074)	Loss 0.6786 (0.6527)	MAE 0.621 (0.601)
Epoch: [1][2/68]	Time 6.759 (10.328)	Data 6.725 (10.291)	Loss 0.6630 (0.6561)	MAE 0.610 (0.604)
Epoch: [1][3/68]	Time 0.042 (7.757)	Data 0.001 (7.718)	Loss 0.5551 (0.6309)	MAE 0.530 (0.585)
Epoch: [1][4/68]	Time 1.656 (6.537)	Data 1.619 (6.499)	Loss 0.8207 (0.6688)	MAE 0.652 (0.599)
Epoch: [1][5/68]	Time 3.464 (6.024)	Data 3.428 (5.987)	Loss 0.7048 (0.6748)	MAE 0.669 (0.610)
Epoch: [1][6/68]	Time 0.047 (5.171)	Data 0.001 (5.132)	Loss 0.5276 (0.6538)	MAE 0.542 (0.601)
Epoch: [1][7/68]	Time 0.044 (4.530)	Data 0.001 (4.490)	Loss 0.4662 (0.6304)	MAE 0.532 (0.592)
Epoch: [1][8/68]	Time 0.045 (4.032)	Data 0.001 (3.991)	Loss 0.4412 (0.6093)	MAE 0.519 (0.584)
Epoch: [1][9/68]	Time 0.044 (3.633)	Data 0.001 (3.592)	Loss 0.5130 (0.5997)	MAE 0.564 (0.582)
Epoch: [1][10/68]	Time 4.189 (3.683)	Data 4.159 (3.644)	Loss 0.4704 (0.5879)	MAE 0.507 (0.575)
Epoch: [1][11/68]	Time 8.851 (4.114)	Data 8.818 (4.075)	Loss 0.4781 (0.5788)	MAE 0.513 (0.570)
Epoch: [1][12/68]	Time 0.045 (3.801)	Data 0.001 (3.762)	Loss 0.3655 (0.5624)	MAE 0.488 (0.564)
Epoch: [1][13/68]	Time 0.044 (3.533)	Data 0.001 (3.493)	Loss 0.4537 (0.5546)	MAE 0.532 (0.561)
Epoch: [1][14/68]	Time 0.047 (3.300)	Data 0.001 (3.260)	Loss 0.5573 (0.5548)	MAE 0.566 (0.562)
Epoch: [1][15/68]	Time 1.036 (3.159)	Data 1.003 (3.119)	Loss 0.3999 (0.5451)	MAE 0.488 (0.557)
Epoch: [1][16/68]	Time 1.250 (3.046)	Data 1.218 (3.007)	Loss 0.6661 (0.5522)	MAE 0.570 (0.558)
Epoch: [1][17/68]	Time 2.751 (3.030)	Data 2.715 (2.991)	Loss 0.4619 (0.5472)	MAE 0.539 (0.557)
Epoch: [1][18/68]	Time 0.044 (2.873)	Data 0.001 (2.834)	Loss 0.5567 (0.5477)	MAE 0.543 (0.556)
Epoch: [1][19/68]	Time 0.043 (2.731)	Data 0.001 (2.692)	Loss 0.7706 (0.5589)	MAE 0.634 (0.560)
Epoch: [1][20/68]	Time 7.320 (2.950)	Data 7.285 (2.911)	Loss 0.4834 (0.5553)	MAE 0.477 (0.556)
Epoch: [1][21/68]	Time 6.846 (3.127)	Data 6.812 (3.088)	Loss 0.4180 (0.5490)	MAE 0.530 (0.555)
Epoch: [1][22/68]	Time 2.826 (3.114)	Data 2.793 (3.075)	Loss 0.4499 (0.5447)	MAE 0.540 (0.554)
Epoch: [1][23/68]	Time 0.043 (2.986)	Data 0.001 (2.947)	Loss 0.5228 (0.5438)	MAE 0.548 (0.554)
