Epoch,Train Loss,Validation Loss,Train MAE,Validation MAE
243,0.0262,0.1918,0.125,0.305
244,0.0284,0.1943,0.131,0.307
245,0.0262,0.1876,0.125,0.3
246,0.0266,0.193,0.125,0.308
247,0.0269,0.1955,0.127,0.311
248,0.0289,0.1966,0.132,0.309
249,0.0272,0.1874,0.128,0.298
250,0.0264,0.1862,0.125,0.298
251,0.0261,0.1936,0.124,0.306
252,0.0273,0.1879,0.127,0.299
253,0.0265,0.1893,0.125,0.3
254,0.0245,0.2029,0.12,0.315
255,0.027,0.1847,0.127,0.296
256,0.0265,0.1896,0.126,0.302
257,0.0272,0.1995,0.127,0.312
258,0.0272,0.1884,0.128,0.3
259,0.0251,0.1856,0.122,0.298
260,0.0288,0.1901,0.131,0.301
261,0.0255,0.1948,0.123,0.309
262,0.0262,0.1956,0.124,0.31
263,0.0266,0.1934,0.125,0.306
264,0.0282,0.1965,0.131,0.308
265,0.0259,0.1948,0.124,0.306
266,0.0255,0.1897,0.123,0.302
267,0.0265,0.1927,0.126,0.306
268,0.0254,0.1905,0.123,0.303
269,0.0254,0.1919,0.124,0.303
270,0.0256,0.1885,0.124,0.301
271,0.0249,0.1913,0.121,0.304
272,0.0263,0.1912,0.125,0.305
273,0.0266,0.1885,0.126,0.303
274,0.0274,0.1994,0.128,0.311
275,0.025,0.1924,0.122,0.304
276,0.0241,0.1926,0.12,0.305
277,0.0231,0.1896,0.118,0.302
278,0.0253,0.1897,0.123,0.302
279,0.0238,0.1886,0.119,0.301
280,0.0264,0.1908,0.125,0.305
281,0.0245,0.1901,0.121,0.302
282,0.0253,0.1889,0.123,0.303
283,0.0237,0.1952,0.119,0.308
284,0.0247,0.1871,0.121,0.299
285,0.025,0.1995,0.122,0.312
286,0.0259,0.1912,0.124,0.304
287,0.0253,0.1947,0.123,0.309
288,0.0263,0.1916,0.125,0.304
289,0.0252,0.1937,0.123,0.306
290,0.0238,0.1967,0.119,0.309
291,0.0244,0.1929,0.12,0.303
292,0.0236,0.1888,0.119,0.301
293,0.0248,0.189,0.121,0.299
294,0.0247,0.1907,0.121,0.302
295,0.0263,0.1859,0.125,0.299
296,0.0257,0.1909,0.123,0.304
297,0.023,0.192,0.117,0.303
298,0.0233,0.1893,0.117,0.302
299,0.0241,0.1922,0.12,0.305
