Epoch: [1][29/68]	Time 0.049 (2.626)	Data 0.002 (2.584)	Loss 0.4280 (0.4626)	MAE 0.533 (0.548)
Epoch: [1][30/68]	Time 8.820 (2.826)	Data 8.786 (2.784)	Loss 0.3972 (0.4605)	MAE 0.528 (0.547)
Epoch: [1][31/68]	Time 5.161 (2.899)	Data 5.123 (2.858)	Loss 0.5015 (0.4618)	MAE 0.553 (0.547)
Epoch: [1][32/68]	Time 5.020 (2.963)	Data 4.984 (2.922)	Loss 0.6740 (0.4682)	MAE 0.660 (0.551)
Epoch: [1][33/68]	Time 0.043 (2.877)	Data 0.001 (2.836)	Loss 0.4520 (0.4677)	MAE 0.509 (0.550)
Epoch: [1][34/68]	Time 0.047 (2.796)	Data 0.002 (2.755)	Loss 0.5411 (0.4698)	MAE 0.545 (0.549)
Epoch: [1][35/68]	Time 0.042 (2.720)	Data 0.001 (2.679)	Loss 0.4191 (0.4684)	MAE 0.530 (0.549)
Epoch: [1][36/68]	Time 0.046 (2.647)	Data 0.001 (2.606)	Loss 0.5386 (0.4703)	MAE 0.527 (0.548)
Epoch: [1][37/68]	Time 0.044 (2.579)	Data 0.001 (2.538)	Loss 0.4756 (0.4705)	MAE 0.568 (0.549)
Epoch: [1][38/68]	Time 3.502 (2.603)	Data 3.471 (2.562)	Loss 0.8924 (0.4813)	MAE 0.695 (0.553)
Epoch: [1][39/68]	Time 0.041 (2.539)	Data 0.001 (2.498)	Loss 0.3804 (0.4787)	MAE 0.544 (0.552)
Epoch: [1][40/68]	Time 7.527 (2.660)	Data 7.492 (2.619)	Loss 0.3771 (0.4763)	MAE 0.528 (0.552)
Epoch: [1][41/68]	Time 3.517 (2.681)	Data 3.486 (2.640)	Loss 0.6144 (0.4796)	MAE 0.614 (0.553)
Epoch: [1][42/68]	Time 2.141 (2.668)	Data 2.110 (2.628)	Loss 0.5361 (0.4809)	MAE 0.555 (0.553)
Epoch: [1][43/68]	Time 1.021 (2.631)	Data 0.986 (2.590)	Loss 0.3847 (0.4787)	MAE 0.494 (0.552)
Epoch: [1][44/68]	Time 0.049 (2.573)	Data 0.001 (2.533)	Loss 0.4633 (0.4783)	MAE 0.550 (0.552)
Epoch: [1][45/68]	Time 1.101 (2.541)	Data 1.067 (2.501)	Loss 0.3642 (0.4759)	MAE 0.520 (0.551)
