Epoch,Train Loss,Validation Loss,Train MAE,Validation MAE
209,0.0194,0.1813,0.114,0.317
210,0.0189,0.1806,0.112,0.317
211,0.021,0.1818,0.118,0.318
212,0.02,0.1809,0.116,0.316
213,0.0201,0.1827,0.116,0.318
214,0.0189,0.1801,0.112,0.316
215,0.0204,0.1824,0.117,0.319
216,0.0188,0.1828,0.113,0.319
217,0.0193,0.1803,0.113,0.317
218,0.0196,0.1854,0.115,0.321
219,0.0203,0.1827,0.117,0.32
220,0.0188,0.1802,0.112,0.316
221,0.0209,0.1849,0.118,0.323
222,0.0202,0.1795,0.116,0.317
223,0.0195,0.1819,0.115,0.318
224,0.0193,0.1806,0.114,0.317
225,0.0198,0.1808,0.116,0.316
226,0.0194,0.1815,0.114,0.32
227,0.0201,0.1795,0.116,0.317
228,0.02,0.1795,0.116,0.316
229,0.0189,0.1866,0.113,0.324
230,0.0187,0.1775,0.112,0.314
231,0.0197,0.1837,0.116,0.319
232,0.0195,0.178,0.115,0.315
233,0.0198,0.177,0.116,0.315
234,0.0206,0.1807,0.118,0.317
235,0.0173,0.1801,0.108,0.316
236,0.0187,0.1801,0.112,0.316
237,0.0193,0.1949,0.114,0.331
238,0.0198,0.1804,0.116,0.317
239,0.0201,0.1793,0.117,0.316
240,0.0193,0.1813,0.114,0.316
241,0.0197,0.1806,0.114,0.318
242,0.0183,0.1843,0.111,0.32
243,0.0185,0.1912,0.112,0.327
244,0.0191,0.1832,0.114,0.32
245,0.0211,0.1803,0.119,0.317
246,0.0197,0.1808,0.116,0.317
247,0.0183,0.1826,0.111,0.318
248,0.0203,0.1778,0.118,0.314
249,0.0197,0.181,0.115,0.316
250,0.0184,0.1879,0.112,0.326
251,0.0185,0.1799,0.112,0.316
252,0.0194,0.1864,0.115,0.324
253,0.0184,0.1817,0.111,0.318
254,0.0183,0.1834,0.111,0.321
255,0.0173,0.186,0.108,0.323
256,0.0193,0.1804,0.113,0.317
257,0.0179,0.1861,0.109,0.323
258,0.0179,0.1896,0.11,0.326
259,0.0196,0.1823,0.115,0.319
260,0.0175,0.1803,0.109,0.317
261,0.0203,0.1811,0.117,0.318
262,0.0196,0.1785,0.114,0.316
263,0.019,0.1801,0.113,0.317
264,0.0183,0.1848,0.111,0.321
265,0.0175,0.183,0.108,0.32
266,0.0169,0.1848,0.107,0.321
267,0.018,0.1812,0.11,0.318
268,0.0176,0.1812,0.109,0.319
269,0.0191,0.1858,0.114,0.323
270,0.0176,0.1841,0.109,0.321
271,0.0174,0.1828,0.108,0.319
272,0.017,0.1805,0.107,0.318
273,0.0179,0.1834,0.11,0.32
274,0.0175,0.1966,0.108,0.334
275,0.0173,0.1845,0.108,0.323
276,0.0182,0.1812,0.111,0.318
277,0.0196,0.1844,0.115,0.321
278,0.0184,0.1833,0.112,0.319
279,0.0189,0.1841,0.112,0.32
280,0.0189,0.1805,0.113,0.317
281,0.0194,0.1797,0.115,0.317
282,0.0178,0.1842,0.11,0.321
283,0.017,0.1824,0.108,0.318
284,0.0175,0.1834,0.107,0.32
285,0.0176,0.1859,0.109,0.321
286,0.018,0.1826,0.11,0.321
287,0.0197,0.1847,0.116,0.322
288,0.02,0.1815,0.116,0.318
289,0.0197,0.1821,0.114,0.319
290,0.0163,0.1839,0.105,0.32
291,0.0188,0.1812,0.113,0.317
292,0.0176,0.1927,0.108,0.329
293,0.0179,0.1843,0.109,0.319
294,0.0174,0.1861,0.109,0.324
295,0.0175,0.1828,0.108,0.318
296,0.018,0.1865,0.11,0.322
297,0.0169,0.1852,0.106,0.322
298,0.0181,0.1852,0.111,0.322
299,0.0197,0.1837,0.115,0.32
