0
../datasets/relaxed_structures_hse_bg ../datasets/relaxed_structures_hse_bg/structure_descriptors_normalized.csv 28
0
../datasets/relaxed_structures_hse_bg ../datasets/relaxed_structures_hse_bg/structure_descriptors_normalized.csv 28
Epoch: [1][1/68]	Time 0.039 (11.160)	Data 0.001 (11.109)	Loss 0.4747 (0.4928)	MAE 0.526 (0.547)
Epoch: [1][2/68]	Time 0.038 (7.453)	Data 0.001 (7.407)	Loss 0.8615 (0.6157)	MAE 0.697 (0.597)
Epoch: [1][3/68]	Time 3.013 (6.343)	Data 2.976 (6.299)	Loss 0.5540 (0.6002)	MAE 0.583 (0.594)
Epoch: [1][4/68]	Time 0.042 (5.083)	Data 0.001 (5.039)	Loss 0.5051 (0.5812)	MAE 0.550 (0.585)
Epoch: [1][5/68]	Time 0.038 (4.242)	Data 0.001 (4.200)	Loss 0.5748 (0.5801)	MAE 0.566 (0.582)
Epoch: [1][6/68]	Time 0.040 (3.642)	Data 0.001 (3.600)	Loss 0.6940 (0.5964)	MAE 0.652 (0.592)
Epoch: [1][7/68]	Time 0.037 (3.191)	Data 0.001 (3.150)	Loss 0.3743 (0.5686)	MAE 0.495 (0.580)
Epoch: [1][8/68]	Time 0.644 (2.908)	Data 0.619 (2.869)	Loss 0.4634 (0.5569)	MAE 0.517 (0.573)
Epoch: [1][9/68]	Time 0.038 (2.621)	Data 0.001 (2.582)	Loss 0.5282 (0.5541)	MAE 0.529 (0.568)
Epoch: [1][10/68]	Time 24.056 (4.570)	Data 24.007 (4.530)	Loss 0.4981 (0.5490)	MAE 0.528 (0.565)
Epoch: [1][11/68]	Time 0.045 (4.193)	Data 0.001 (4.152)	Loss 0.4767 (0.5430)	MAE 0.516 (0.561)
Epoch: [1][12/68]	Time 0.040 (3.873)	Data 0.001 (3.833)	Loss 0.6929 (0.5545)	MAE 0.633 (0.566)
Epoch: [1][13/68]	Time 0.041 (3.599)	Data 0.001 (3.559)	Loss 0.5331 (0.5530)	MAE 0.491 (0.561)
Epoch: [1][14/68]	Time 0.040 (3.362)	Data 0.001 (3.322)	Loss 0.4798 (0.5481)	MAE 0.522 (0.558)
Epoch: [1][15/68]	Time 0.042 (3.155)	Data 0.001 (3.114)	Loss 0.6570 (0.5549)	MAE 0.586 (0.560)
Epoch: [1][16/68]	Time 0.042 (2.972)	Data 0.001 (2.931)	Loss 0.4995 (0.5516)	MAE 0.520 (0.558)
