Epoch,Train Loss,Validation Loss,Train MAE,Validation MAE
256,0.0316,0.183,0.137,0.296
257,0.029,0.179,0.132,0.294
258,0.0323,0.1781,0.14,0.293
259,0.0334,0.1793,0.141,0.292
260,0.0309,0.18,0.136,0.293
261,0.0323,0.1751,0.138,0.288
262,0.0313,0.1802,0.137,0.294
263,0.0283,0.1789,0.13,0.291
264,0.0291,0.1764,0.133,0.29
265,0.0273,0.1763,0.128,0.29
266,0.0301,0.179,0.135,0.293
267,0.0315,0.1791,0.137,0.292
268,0.0307,0.1792,0.135,0.296
269,0.0321,0.1782,0.139,0.293
270,0.0295,0.1771,0.134,0.29
271,0.0287,0.1771,0.131,0.29
272,0.0313,0.1772,0.137,0.293
273,0.0289,0.1813,0.132,0.293
274,0.0311,0.1815,0.137,0.297
275,0.0283,0.1772,0.13,0.29
276,0.0293,0.1774,0.133,0.292
277,0.0311,0.1743,0.135,0.29
278,0.0309,0.1789,0.137,0.293
279,0.0279,0.1778,0.13,0.29
280,0.0279,0.1774,0.129,0.292
281,0.028,0.1815,0.13,0.295
282,0.0323,0.1774,0.138,0.29
283,0.031,0.1771,0.137,0.292
284,0.0311,0.1825,0.138,0.298
285,0.0282,0.1771,0.129,0.29
286,0.029,0.1778,0.131,0.291
287,0.0292,0.1789,0.133,0.294
288,0.0304,0.1812,0.135,0.296
289,0.0268,0.1797,0.127,0.295
290,0.0288,0.1812,0.132,0.295
291,0.0305,0.1788,0.136,0.293
292,0.029,0.1784,0.133,0.292
293,0.0263,0.1786,0.126,0.295
294,0.0274,0.1794,0.129,0.295
295,0.0284,0.1762,0.131,0.289
296,0.0281,0.1789,0.131,0.292
297,0.03,0.1811,0.134,0.293
298,0.0278,0.1859,0.129,0.302
299,0.0323,0.1845,0.14,0.297
