Epoch,Train Loss,Validation Loss,Train MAE,Validation MAE
242,0.0344,0.1662,0.153,0.301
243,0.0365,0.169,0.157,0.303
244,0.0324,0.1675,0.147,0.302
245,0.0352,0.1724,0.154,0.308
246,0.0344,0.1689,0.152,0.304
247,0.037,0.1676,0.159,0.302
248,0.0341,0.1687,0.152,0.303
249,0.0347,0.1701,0.154,0.304
250,0.0336,0.1672,0.151,0.302
251,0.0356,0.1675,0.155,0.302
252,0.0363,0.1681,0.157,0.301
253,0.0341,0.1723,0.152,0.308
254,0.0337,0.1689,0.151,0.304
255,0.0339,0.1692,0.152,0.303
256,0.0333,0.1749,0.151,0.311
257,0.0359,0.168,0.156,0.302
258,0.0332,0.1688,0.15,0.304
259,0.0343,0.1696,0.154,0.305
260,0.0321,0.1698,0.146,0.303
261,0.0337,0.1713,0.151,0.305
262,0.0315,0.1732,0.146,0.308
263,0.0341,0.1739,0.152,0.309
264,0.0326,0.171,0.148,0.305
265,0.0321,0.173,0.148,0.308
266,0.033,0.1765,0.148,0.312
267,0.0321,0.1718,0.147,0.307
268,0.0307,0.1753,0.144,0.309
269,0.0324,0.1701,0.147,0.303
270,0.0329,0.1758,0.149,0.312
271,0.0348,0.1733,0.153,0.309
272,0.0347,0.1715,0.154,0.305
273,0.0325,0.1737,0.15,0.309
274,0.0327,0.1757,0.148,0.31
275,0.0301,0.1775,0.142,0.316
276,0.0331,0.1757,0.15,0.309
277,0.0333,0.1721,0.152,0.305
278,0.0343,0.1736,0.153,0.308
279,0.0342,0.1739,0.153,0.307
280,0.0325,0.1728,0.15,0.307
281,0.032,0.1729,0.147,0.305
282,0.0316,0.1745,0.147,0.307
283,0.0351,0.1693,0.155,0.303
284,0.0326,0.1727,0.149,0.307
285,0.0314,0.1781,0.146,0.31
286,0.0329,0.1755,0.149,0.307
287,0.0305,0.1703,0.144,0.302
288,0.0325,0.1721,0.149,0.306
289,0.0314,0.1754,0.146,0.308
290,0.0299,0.1755,0.143,0.31
291,0.0324,0.1759,0.148,0.311
292,0.035,0.1758,0.155,0.309
293,0.0299,0.1714,0.142,0.304
294,0.0296,0.1714,0.142,0.305
295,0.0342,0.1728,0.153,0.305
296,0.0334,0.1813,0.152,0.316
297,0.0334,0.1716,0.152,0.304
298,0.0308,0.1747,0.145,0.308
299,0.0305,0.1802,0.144,0.315
300,0.0311,0.1744,0.145,0.305
301,0.0306,0.1796,0.145,0.314
302,0.0319,0.1756,0.147,0.309
303,0.0297,0.1743,0.142,0.307
304,0.0314,0.1724,0.146,0.306
305,0.0308,0.1781,0.144,0.313
306,0.0303,0.1751,0.143,0.306
307,0.0303,0.1759,0.143,0.309
308,0.0334,0.176,0.151,0.309
309,0.0317,0.1741,0.147,0.306
310,0.0304,0.1772,0.144,0.31
311,0.0315,0.1733,0.146,0.304
312,0.0311,0.1746,0.145,0.307
313,0.0336,0.177,0.15,0.309
314,0.0279,0.1747,0.137,0.308
315,0.0282,0.1793,0.138,0.312
316,0.0338,0.1816,0.152,0.315
317,0.0289,0.1756,0.14,0.307
318,0.0322,0.1849,0.147,0.322
319,0.0287,0.1768,0.14,0.309
320,0.0295,0.178,0.142,0.31
321,0.028,0.1779,0.138,0.312
322,0.0293,0.1806,0.141,0.315
323,0.0312,0.1777,0.147,0.309
324,0.03,0.185,0.143,0.322
325,0.0315,0.1809,0.147,0.317
326,0.0305,0.1764,0.144,0.308
327,0.0294,0.1756,0.142,0.306
328,0.0301,0.1795,0.143,0.311
329,0.0274,0.1742,0.136,0.306
330,0.0283,0.1748,0.139,0.308
